#cluster	accession	definition	organism	taxid	length
CLSP2511921	NP_612762	membrane glycoprotein UL139	Panine herpesvirus 2	188763	412
CLSP2511920	NP_612761	protein UL140	Panine herpesvirus 2	188763	216
CLSP2511919	NP_612759	membrane glycoprotein UL142	Panine herpesvirus 2	188763	398
CLSP2511918	NP_612758	membrane glycoprotein UL144	Panine herpesvirus 2	188763	186
CLSP2511917	NP_612757	protein UL145	Panine herpesvirus 2	188763	156
CLSP2511916	YP_081570	chemokine vCXCL2	Human herpesvirus 5	10359	159
CLSP2511915	NP_612753	membrane protein UL147A	Panine herpesvirus 2	188763	79
CLSP2511914	NP_612752	membrane protein UL148	Panine herpesvirus 2	188763	333
CLSP2511913	NP_612766	protein UL133	Panine herpesvirus 2	188763	262
CLSP2511912	YP_081567	envelope glycoprotein UL132	Human herpesvirus 5	10359	270
CLSP2511911	NP_612750	envelope protein UL131A	Panine herpesvirus 2	188763	130
CLSP2511910	NP_612749	envelope glycoprotein UL130	Panine herpesvirus 2	188763	242
CLSP2511909	YP_081564	truncated envelope protein UL128	Human herpesvirus 5	10359	130
CLSP2511908	NP_612747	membrane protein UL124	Panine herpesvirus 2	188763	153
CLSP2511907	NP_612746	regulatory protein IE1	Panine herpesvirus 2	188763	505
CLSP2511906	YP_068245	rh155	Macacine herpesvirus 3	47929	182
CLSP2511905	YP_081559	membrane protein UL120	Human herpesvirus 5	10359	201
CLSP2511904	NP_612742	membrane glycoprotein UL119	Panine herpesvirus 2	188763	387
CLSP2511903	NP_612741	protein UL117	Panine herpesvirus 2	188763	438
CLSP2511902	YP_068238	rh148	Macacine herpesvirus 3	47929	356
CLSP2511901	NP_612728	tegument protein UL14	Panine herpesvirus 2	188763	131
CLSP2511899	NP_612725	DNA packaging tegument protein UL17	Panine herpesvirus 2	188763	606
CLSP2511898	NP_612723	protein UL91	Panine herpesvirus 2	188763	143
CLSP2511897	YP_081531	tegument protein pp65	Human herpesvirus 5	10359	561
CLSP2511896	YP_081530	tegument protein pp71	Human herpesvirus 5	10359	559
CLSP2511895	NP_612713	capsid maturation protease	Panine herpesvirus 2	188763	710
CLSP2511894	YP_081526	envelope protein UL78	Human herpesvirus 5	10359	431
CLSP2511893	YP_081524	nuclear protein UL24	Human herpesvirus 5	10359	325
CLSP2511892	YP_081522	envelope glycoprotein O	Human herpesvirus 5	10359	472
CLSP2511890	NP_612703	helicase-primase primase subunit	Panine herpesvirus 2	188763	984
CLSP2511888	YP_081515	DNA packaging terminase subunit 2	Human herpesvirus 5	10359	850
CLSP2511887	NP_612698	DNA polymerase catalytic subunit	Panine herpesvirus 2	188763	1357
CLSP2511884	NP_612688	ribonucleotide reductase subunit 1	Panine herpesvirus 2	188763	945
CLSP2511882	NP_612685	protein UL42	Panine herpesvirus 2	188763	146
CLSP2511881	NP_612684	protein UL41A	Panine herpesvirus 2	188763	88
CLSP2511880	YP_081498	membrane glycoprotein UL40	Human herpesvirus 5	10359	221
CLSP2511878	YP_068149	rh55	Macacine herpesvirus 3	47929	705
CLSP2511877	YP_081489	protein UL30	Human herpesvirus 5	10359	121
CLSP2511875	NP_612672	protein UL28	Panine herpesvirus 2	188763	353
CLSP2511872	NP_612665	protein UL21A	Panine herpesvirus 2	188763	134
CLSP2511871	YP_068130	rh36	Macacine herpesvirus 3	47929	448
CLSP2511870	YP_081478	protein UL19	Human herpesvirus 5	10359	98
CLSP2511869	NP_612662	membrane glycoprotein UL18	Panine herpesvirus 2	188763	369
CLSP2511866	NP_612657	protein UL13	Panine herpesvirus 2	188763	589
CLSP2511863	NP_612653	protein UL8	Panine herpesvirus 2	188763	168
CLSP2511862	YP_081467	membrane protein UL7	Human herpesvirus 5	10359	222
CLSP2511861	NP_612651	protein UL6	Panine herpesvirus 2	188763	283
CLSP2511860	YP_081465	protein UL5	Human herpesvirus 5	10359	166
CLSP2511859	YP_081463	protein UL2	Human herpesvirus 5	10359	59
CLSP2511858	NP_612647	membrane protein RL13	Panine herpesvirus 2	188763	333
CLSP2511857	YP_081460	membrane protein RL12	Human herpesvirus 5	10359	414
CLSP2511856	YP_081459	membrane glycoprotein RL11	Human herpesvirus 5	10359	234
CLSP2511855	NP_612644	envelope glycoprotein RL10	Panine herpesvirus 2	188763	175
CLSP2511854	YP_068095	rh01	Macacine herpesvirus 3	47929	508
CLSP2511852	NP_612342	ORF120R	Infectious spleen and kidney necrosis virus	180170	95
CLSP2511851	NP_612341	ORF119L	Infectious spleen and kidney necrosis virus	180170	456
CLSP2511850	NP_612294	ORF072R	Infectious spleen and kidney necrosis virus	180170	334
CLSP2511849	NP_612293	ORF071L	Infectious spleen and kidney necrosis virus	180170	536
CLSP2511848	YP_003853	hypothetical protein	Ambystoma tigrinum virus	265294	219
CLSP2511846	NP_612244	ORF022L	Infectious spleen and kidney necrosis virus	180170	499
CLSP2511845	YP_003824	myristylated membrane protein	Ambystoma tigrinum virus	265294	526
CLSP2511839	YP_094051	E4 ORFF	Bovine adenovirus A	129953	111
CLSP2511838	NP_597933	Putative BALF1 homolog	Alcelaphine herpesvirus 1	35252	231
CLSP2511837	NP_597697	early E1A protein	Murine adenovirus A	129956	92
CLSP2511821	YP_001129366	K6	Human herpesvirus 8	37296	95
CLSP2511820	YP_001129360	K3	Human herpesvirus 8	37296	322
CLSP2511816	YP_001129432	K14	Human herpesvirus 8	37296	271
CLSP2511815	NP_570805	R13	Macacine herpesvirus 5	154334	364
CLSP2511814	NP_570804	R12	Macacine herpesvirus 5	154334	355
CLSP2511813	NP_570799	R7	Macacine herpesvirus 5	154334	415
CLSP2511812	YP_001129411	K9	Human herpesvirus 8	37296	449
CLSP2511810	NP_570792	hypothetical protein	Macacine herpesvirus 5	154334	139
CLSP2511809	YP_001129401	ORF50	Human herpesvirus 8	37296	691
CLSP2511805	NP_570779	hypothetical protein	Macacine herpesvirus 5	154334	69
CLSP2511799	YP_001129375	ORF22	Human herpesvirus 8	37296	730
CLSP2511794	YP_001129356	ORF10	Human herpesvirus 8	37296	418
CLSP2511791	NP_570306	SPV146 G protein-coupled CC chemokine receptor-like protein	Swinepox virus	10276	370
CLSP2511789	YP_002273985	hypothetical protein	Helicoverpa armigera NPV NNg1	566972	59
CLSP2511788	YP_001110895	Bro5	Heliothis virescens ascovirus 3e	260797	354
CLSP2511787	YP_002273949	hypothetical protein	Helicoverpa armigera NPV NNg1	566972	50
CLSP2511784	NP_478050	wsv528	Shrimp white spot syndrome virus	92652	237
CLSP2511783	NP_478021	wsv499	Shrimp white spot syndrome virus	92652	88
CLSP2511782	NP_478011	wsv489	Shrimp white spot syndrome virus	92652	245
CLSP2511781	NP_478007	wsv485	Shrimp white spot syndrome virus	92652	83
CLSP2511780	NP_478022	wsv500	Shrimp white spot syndrome virus	92652	209
CLSP2511779	NP_477998	wsv476	Shrimp white spot syndrome virus	92652	71
CLSP2511777	NP_477767	wsv245	Shrimp white spot syndrome virus	92652	76
CLSP2511776	NP_477781	wsv259	Shrimp white spot syndrome virus	92652	309
CLSP2511775	NP_477760	wsv238	Shrimp white spot syndrome virus	92652	486
CLSP2511774	NP_477759	wsv237	Shrimp white spot syndrome virus	92652	292
CLSP2511773	NP_477753	wsv231	Shrimp white spot syndrome virus	92652	615
CLSP2511772	NP_477744	wsv222	Shrimp white spot syndrome virus	92652	844
CLSP2511771	NP_477727	wsv205	Shrimp white spot syndrome virus	92652	69
CLSP2511770	NP_477725	wsv203	Shrimp white spot syndrome virus	92652	179
CLSP2511769	NP_477706	wsv184	Shrimp white spot syndrome virus	92652	541
CLSP2511768	NP_477688	wsv166	Shrimp white spot syndrome virus	92652	1072
CLSP2511766	NP_477945	wsv423	Shrimp white spot syndrome virus	92652	730
CLSP2511765	NP_477721	wsv199	Shrimp white spot syndrome virus	92652	856
CLSP2511764	NP_477582	wsv060	Shrimp white spot syndrome virus	92652	83
CLSP2511763	NP_477581	wsv059	Shrimp white spot syndrome virus	92652	208
CLSP2511762	NP_477578	wsv056	Shrimp white spot syndrome virus	92652	226
CLSP2511761	NP_477575	wsv053	Shrimp white spot syndrome virus	92652	81
CLSP2511760	NP_477524	wsv002	Shrimp white spot syndrome virus	92652	208
CLSP2511755	YP_758453	ORF156	Leucania separata nucleopolyhedrovirus	1307956	246
CLSP2511753	NP_258391	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	77
CLSP2511751	YP_758440	bro-h	Leucania separata nucleopolyhedrovirus	1307956	266
CLSP2511750	YP_758439	ORF142	Leucania separata nucleopolyhedrovirus	1307956	250
CLSP2511747	YP_758430	ORF133	Leucania separata nucleopolyhedrovirus	1307956	140
CLSP2511746	NP_258374	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	267
CLSP2511745	NP_258371	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	179
CLSP2511744	YP_758421	ORF124	Leucania separata nucleopolyhedrovirus	1307956	473
CLSP2511742	YP_758406	vp80	Leucania separata nucleopolyhedrovirus	1307956	675
CLSP2511738	YP_758389	ORF92	Leucania separata nucleopolyhedrovirus	1307956	240
CLSP2511736	YP_758372	p49	Leucania separata nucleopolyhedrovirus	1307956	445
CLSP2511735	YP_758362	ORF65	Leucania separata nucleopolyhedrovirus	1307956	91
CLSP2511734	NP_258316	LEF-10	Spodoptera litura nucleopolyhedrovirus	46242	84
CLSP2511733	YP_758359	ORF62	Leucania separata nucleopolyhedrovirus	1307956	75
CLSP2511732	NP_258314	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	422
CLSP2511731	NP_258312	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	208
CLSP2511726	NP_258294	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	297
CLSP2511725	YP_758319	ORF22	Leucania separata nucleopolyhedrovirus	1307956	345
CLSP2511722	YP_758312	ORF15	Leucania separata nucleopolyhedrovirus	1307956	215
CLSP2511721	YP_758311	ORF14	Leucania separata nucleopolyhedrovirus	1307956	95
CLSP2511719	YP_758303	hoar	Leucania separata nucleopolyhedrovirus	1307956	845
CLSP2511718	YP_758299	ORF1629	Leucania separata nucleopolyhedrovirus	1307956	589
CLSP2511717	YP_002274023	hypothetical protein	Helicoverpa armigera NPV NNg1	566972	55
CLSP2511716	NP_203674	hypothetical protein	Helicoverpa armigera nucleopolyhedrovirus	51313	135
CLSP2511715	YP_002274044	hypothetical protein	Helicoverpa armigera NPV NNg1	566972	308
CLSP2511713	NP_203563	hypothetical protein	Helicoverpa armigera nucleopolyhedrovirus	51313	63
CLSP2511712	NP_203369	CUN065 hypothetical protein	Culex nigripalpus nucleopolyhedrovirus	130556	344
CLSP2511711	YP_025191	viral capsid protein 91	Neodiprion sertifer nucleopolyhedrovirus	111874	824
CLSP2511710	NP_203412	CUN108 putative bro protein, ATP_GTP_A motif, similar to AcMNPV ORF2	Culex nigripalpus nucleopolyhedrovirus	130556	601
CLSP2511709	NP_848457	capsid associated protein	Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	631
CLSP2511706	YP_473231	ORF43 peptide	Hyphantria cunea nucleopolyhedrovirus	28288	146
CLSP2511704	NP_203212	hypothetical protein	Epiphyas postvittana nucleopolyhedrovirus	70600	62
CLSP2511703	YP_003406941	hypothetical protein	Marseillevirus	694581	520
CLSP2511702	NP_149929	466R	Invertebrate iridescent virus 6	176652	90
CLSP2511701	NP_149916	453L	Invertebrate iridescent virus 6	176652	138
CLSP2511700	NP_149908	445L	Invertebrate iridescent virus 6	176652	68
CLSP2511699	NP_149902	439L	Invertebrate iridescent virus 6	176652	537
CLSP2511698	YP_164169	hypothetical protein	Singapore grouper iridovirus	262968	88
CLSP2511696	NP_149878	415R	Invertebrate iridescent virus 6	176652	242
CLSP2511695	NP_149864	401R	Invertebrate iridescent virus 6	176652	243
CLSP2511694	NP_149858	395R	Invertebrate iridescent virus 6	176652	151
CLSP2511693	NP_149854	391R	Invertebrate iridescent virus 6	176652	294
CLSP2511692	YP_654582	hypothetical protein	Invertebrate iridescent virus 3	345201	559
CLSP2511691	YP_654672	hypothetical protein	Invertebrate iridescent virus 3	345201	212
CLSP2511690	NP_149836	373L	Invertebrate iridescent virus 6	176652	243
CLSP2511689	NP_149832	369L	Invertebrate iridescent virus 6	176652	415
CLSP2511687	YP_654598	hypothetical protein	Invertebrate iridescent virus 3	345201	226
CLSP2511686	NP_149812	349L	Invertebrate iridescent virus 6	176652	140
CLSP2511684	YP_164200	hypothetical protein	Singapore grouper iridovirus	262968	77
CLSP2511683	NP_149805	342R	Invertebrate iridescent virus 6	176652	88
CLSP2511682	NP_149798	335L	Invertebrate iridescent virus 6	176652	331
CLSP2511681	YP_654671	hypothetical protein	Invertebrate iridescent virus 3	345201	462
CLSP2511680	YP_001110995	hypothetical protein	Heliothis virescens ascovirus 3e	260797	233
CLSP2511679	NP_149765	302L	Invertebrate iridescent virus 6	176652	378
CLSP2511678	YP_654628	hypothetical protein	Invertebrate iridescent virus 3	345201	344
CLSP2511676	YP_654646	hypothetical protein	Invertebrate iridescent virus 3	345201	834
CLSP2511675	NP_149906	443R	Invertebrate iridescent virus 6	176652	2432
CLSP2511674	NP_149722	259R	Invertebrate iridescent virus 6	176652	299
CLSP2511673	NP_149717	254L	Invertebrate iridescent virus 6	176652	336
CLSP2511672	YP_001110923	DNA repair exonuclease	Heliothis virescens ascovirus 3e	260797	399
CLSP2511671	YP_654656	hypothetical protein	Invertebrate iridescent virus 3	345201	844
CLSP2511670	YP_654618	hypothetical protein	Invertebrate iridescent virus 3	345201	599
CLSP2511669	NP_149622	159L	Invertebrate iridescent virus 6	176652	475
CLSP2511668	NP_149920	457L	Invertebrate iridescent virus 6	176652	294
CLSP2511665	NP_149666	203L	Invertebrate iridescent virus 6	176652	160
CLSP2511663	NP_149661	198R	Invertebrate iridescent virus 6	176652	472
CLSP2511662	NP_149660	197R	Invertebrate iridescent virus 6	176652	266
CLSP2511661	NP_149659	196R	Invertebrate iridescent virus 6	176652	174
CLSP2511660	NP_149647	184R	Invertebrate iridescent virus 6	176652	971
CLSP2511659	NP_149642	179R	Invertebrate iridescent virus 6	176652	1186
CLSP2511658	NP_149633	170L	Invertebrate iridescent virus 6	176652	246
CLSP2511656	YP_654599	hypothetical protein	Invertebrate iridescent virus 3	345201	171
CLSP2511655	YP_654685	hypothetical protein	Invertebrate iridescent virus 3	345201	807
CLSP2511654	NP_149701	238R	Invertebrate iridescent virus 6	176652	440
CLSP2511653	NP_149606	143R	Invertebrate iridescent virus 6	176652	195
CLSP2511651	NP_149599	136R	Invertebrate iridescent virus 6	176652	178
CLSP2511650	NP_149795	332L	Invertebrate iridescent virus 6	176652	234
CLSP2511649	NP_149581	118L	Invertebrate iridescent virus 6	176652	515
CLSP2511648	YP_654603	hypothetical protein	Invertebrate iridescent virus 3	345201	142
CLSP2511647	NP_149563	100L	Invertebrate iridescent virus 6	176652	181
CLSP2511646	NP_149561	098R	Invertebrate iridescent virus 6	176652	602
CLSP2511645	NP_149540	077L	Invertebrate iridescent virus 6	176652	313
CLSP2511644	NP_149530	067R	Invertebrate iridescent virus 6	176652	456
CLSP2511643	NP_803803	ORF237	Pseudomonas phage phiKZ	169683	277
CLSP2511641	YP_654659	hypothetical protein	Invertebrate iridescent virus 3	345201	980
CLSP2511640	YP_654665	hypothetical protein	Invertebrate iridescent virus 3	345201	301
CLSP2511639	NP_149475	012L	Invertebrate iridescent virus 6	176652	624
CLSP2511638	NP_149776	313L	Invertebrate iridescent virus 6	176652	358
CLSP2511637	YP_006330	ORF14	Agrotis segetum granulovirus	10464	211
CLSP2511636	NP_148921	ORF137 LEF-10	Cydia pomonella granulovirus	28289	89
CLSP2511635	NP_148920	ORF136 similar to XcGV ORF173	Cydia pomonella granulovirus	28289	73
CLSP2511634	NP_148916	ORF132 similar to XcGV ORF165	Cydia pomonella granulovirus	28289	131
CLSP2511633	NP_148908	ORF124	Cydia pomonella granulovirus	28289	99
CLSP2511632	NP_148905	ORF121 similar to XcGV ORF142	Cydia pomonella granulovirus	28289	71
CLSP2511631	NP_148899	ORF115 similar to XcGV ORF136	Cydia pomonella granulovirus	28289	168
CLSP2511630	NP_148897	ORF113 LEF-3	Cydia pomonella granulovirus	28289	353
CLSP2511628	NP_148894	ORF110	Cydia pomonella granulovirus	28289	135
CLSP2511625	YP_654503	hypothetical protein	Choristoneura occidentalis granulovirus	364745	236
CLSP2511623	NP_663259	capsid protein VP91	Phthorimaea operculella granulovirus	192584	712
CLSP2511622	NP_891938	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	99
CLSP2511617	NP_148866	ORF82 similar to XcGV ORF90	Cydia pomonella granulovirus	28289	306
CLSP2511615	NP_891916	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	99
CLSP2511614	NP_148848	ORF64 similar to XcGV ORF66	Cydia pomonella granulovirus	28289	230
CLSP2511612	NP_148841	ORF57 39K	Cydia pomonella granulovirus	28289	241
CLSP2511609	NP_148830	ORF46 metalloproteinase	Cydia pomonella granulovirus	28289	545
CLSP2511608	NP_148829	ORF45 similar to XcGV ORF39	Cydia pomonella granulovirus	28289	154
CLSP2511607	NP_148828	ORF44	Cydia pomonella granulovirus	28289	207
CLSP2511606	NP_891887	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	120
CLSP2511604	NP_663200	hypothetical protein	Phthorimaea operculella granulovirus	192584	97
CLSP2511603	NP_148816	ORF32	Cydia pomonella granulovirus	28289	446
CLSP2511602	NP_148814	ORF30 similar to XcGV ORF26	Cydia pomonella granulovirus	28289	181
CLSP2511601	NP_148813	ORF29 similar to XcGV ORF25	Cydia pomonella granulovirus	28289	304
CLSP2511600	NP_148812	ORF28	Cydia pomonella granulovirus	28289	77
CLSP2511599	NP_891873	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	427
CLSP2511598	NP_148808	ORF24 PE-38	Cydia pomonella granulovirus	28289	382
CLSP2511597	NP_148804	ORF20 similar to XcGV ORF17	Cydia pomonella granulovirus	28289	235
CLSP2511596	YP_003429343	PrGVORF19	Pieris rapae granulovirus	252584	78
CLSP2511594	NP_891859	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	82
CLSP2511593	YP_654429	hypothetical protein	Choristoneura occidentalis granulovirus	364745	254
CLSP2511592	NP_891853	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	86
CLSP2511591	NP_148786	ORF2 similar to XcGV ORF2	Cydia pomonella granulovirus	28289	174
CLSP2511590	NP_116484	t128	Tupaiid herpesvirus 1	10397	88
CLSP2511589	YP_002321297	gp121	Caviid herpesvirus 2	33706	348
CLSP2511588	NP_116472	t121	Tupaiid herpesvirus 1	10397	268
CLSP2511586	YP_002321281	gp98	Caviid herpesvirus 2	33706	595
CLSP2511585	NP_116444	T96	Tupaiid herpesvirus 1	10397	125
CLSP2511584	NP_116442	T93	Tupaiid herpesvirus 1	10397	541
CLSP2511583	YP_081532	protein UL84	Human herpesvirus 5	10359	587
CLSP2511579	YP_002321213	gp23	Caviid herpesvirus 2	33706	400
CLSP2511578	NP_116360	t22.7	Tupaiid herpesvirus 1	10397	346
CLSP2511577	NP_116356	t22.3	Tupaiid herpesvirus 1	10397	366
CLSP2511576	NP_116346	t16	Tupaiid herpesvirus 1	10397	412
CLSP2511575	YP_002321304	gp142	Caviid herpesvirus 2	33706	564
CLSP2511572	NP_108674	612R protein	Porcine adenovirus C	130371	612
CLSP2511571	NP_108671	33 kDa protein	Porcine adenovirus C	130371	219
CLSP2511569	YP_073532	hypothetical protein	Lymphocystis disease virus - isolate China	256729	55
CLSP2511568	YP_073527	hypothetical protein	Lymphocystis disease virus - isolate China	256729	63
CLSP2511567	NP_078755	hypothetical protein	Lymphocystis disease virus 1	36363	66
CLSP2511566	NP_078752	hypothetical protein	Lymphocystis disease virus 1	36363	67
CLSP2511565	YP_073548	hypothetical protein	Lymphocystis disease virus - isolate China	256729	78
CLSP2511564	NP_078695	hypothetical protein	Lymphocystis disease virus 1	36363	81
CLSP2511563	NP_078754	Transcription factor SII homolog	Lymphocystis disease virus 1	36363	89
CLSP2511562	NP_078642	hypothetical protein	Lymphocystis disease virus 1	36363	92
CLSP2511561	NP_078638	VLTF2-like late transcription factor	Lymphocystis disease virus 1	36363	95
CLSP2511560	YP_073523	hypothetical protein	Lymphocystis disease virus - isolate China	256729	95
